Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[single cell well quality]	Characteristics[genotype]	Characteristics[phenotype]	Characteristics[strain]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[spike sequence file]	Comment[spike concentration file]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[spike-in addition]	Factor Value[phenotype]	Factor Value[block]
SLX-9555.N702_S504.C89V9ANXX.s_1.r_1	ERS1628350	SAMEA103939182	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S504.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S504.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958328	SLX-9555.N702_S504.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S504.C89V9ANXX.s_1.r_1.fq.gz	ERR1897938	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/008/ERR1897938/ERR1897938.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N702_S505.C89V9ANXX.s_1.r_1	ERS1628351	SAMEA103939183	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S505.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S505.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958329	SLX-9555.N702_S505.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S505.C89V9ANXX.s_1.r_1.fq.gz	ERR1897939	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/009/ERR1897939/ERR1897939.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N702_S506.C89V9ANXX.s_1.r_1	ERS1628352	SAMEA103939184	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S506.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S506.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958330	SLX-9555.N702_S506.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S506.C89V9ANXX.s_1.r_1.fq.gz	ERR1897940	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/000/ERR1897940/ERR1897940.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N702_S507.C89V9ANXX.s_1.r_1	ERS1628353	SAMEA103939185	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S507.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S507.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958331	SLX-9555.N702_S507.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S507.C89V9ANXX.s_1.r_1.fq.gz	ERR1897941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/001/ERR1897941/ERR1897941.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N702_S508.C89V9ANXX.s_1.r_1	ERS1628354	SAMEA103939186	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S508.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S508.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958332	SLX-9555.N702_S508.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S508.C89V9ANXX.s_1.r_1.fq.gz	ERR1897942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/002/ERR1897942/ERR1897942.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N702_S517.C89V9ANXX.s_1.r_1	ERS1628355	SAMEA103939187	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S517.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S517.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958333	SLX-9555.N702_S517.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S517.C89V9ANXX.s_1.r_1.fq.gz	ERR1897943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/003/ERR1897943/ERR1897943.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N703_S502.C89V9ANXX.s_1.r_1	ERS1628356	SAMEA103939188	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N703_S502.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N703_S502.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958334	SLX-9555.N703_S502.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N703_S502.C89V9ANXX.s_1.r_1.fq.gz	ERR1897944	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/004/ERR1897944/ERR1897944.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N703_S503.C89V9ANXX.s_1.r_1	ERS1628357	SAMEA103939189	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N703_S503.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N703_S503.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958335	SLX-9555.N703_S503.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N703_S503.C89V9ANXX.s_1.r_1.fq.gz	ERR1897945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/005/ERR1897945/ERR1897945.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N703_S504.C89V9ANXX.s_1.r_1	ERS1628358	SAMEA103939190	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N703_S504.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N703_S504.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958336	SLX-9555.N703_S504.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N703_S504.C89V9ANXX.s_1.r_1.fq.gz	ERR1897946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/006/ERR1897946/ERR1897946.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N703_S505.C89V9ANXX.s_1.r_1	ERS1628359	SAMEA103939191	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N703_S505.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N703_S505.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958337	SLX-9555.N703_S505.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N703_S505.C89V9ANXX.s_1.r_1.fq.gz	ERR1897947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/007/ERR1897947/ERR1897947.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
