Package	Assay	Keep
debrowser	EpigenomicSeq	FALSE
DECIPHER	Microarray	FALSE
DECIPHER	Microbiome	FALSE
DECIPHER	GenomicSeq	TRUE
deco	TranscriptomicSeq	FALSE
deco	Microarray	TRUE
derfinder	TranscriptomicSeq	TRUE
derfinder	EpigenomicSeq	FALSE
DESeq	TranscriptomicSeq	TRUE
DESeq	EpigenomicSeq	FALSE
DESeq2	TranscriptomicSeq	TRUE
DESeq2	EpigenomicSeq	FALSE
DESeq2	Microbiome	FALSE
DEsingle	SingleCell	TRUE
DEsingle	TranscriptomicSeq	FALSE
diffcoexp	TranscriptomicSeq	FALSE
diffcoexp	Microarray	TRUE
diffcyt	SingleCell	FALSE
diffcyt	FlowCytometry	TRUE
discordant	TranscriptomicSeq	FALSE
discordant	Microarray	TRUE
doppelgangR	TranscriptomicSeq	FALSE
doppelgangR	Microarray	TRUE
DropletUtils	SingleCell	TRUE
DropletUtils	TranscriptomicSeq	FALSE
DSS	TranscriptomicSeq	TRUE
DSS	EpigenomicSeq	FALSE
EDDA	TranscriptomicSeq	TRUE
EDDA	EpigenomicSeq	FALSE
edgeR	TranscriptomicSeq	TRUE
edgeR	EpigenomicSeq	FALSE
eegc	TranscriptomicSeq	FALSE
eegc	Microarray	TRUE
EGSEA	TranscriptomicSeq	FALSE
EGSEA	Microarray	TRUE
ELBOW	TranscriptomicSeq	FALSE
ELBOW	Microarray	TRUE
EnrichmentBrowser	TranscriptomicSeq	FALSE
EnrichmentBrowser	Microarray	TRUE
erccdashboard	TranscriptomicSeq	FALSE
erccdashboard	Microarray	TRUE
esATAC	GenomicSeq	FALSE
esATAC	EpigenomicSeq	TRUE
EventPointer	TranscriptomicSeq	FALSE
EventPointer	Microarray	TRUE
flowVS	Microarray	FALSE
flowVS	FlowCytometry	TRUE
gage	TranscriptomicSeq	FALSE
gage	Microarray	TRUE
geecc	TranscriptomicSeq	FALSE
geecc	Microarray	TRUE
GenoGAM	EpigenomicSeq	TRUE
GenoGAM	GenomicSeq	FALSE
Glimma	TranscriptomicSeq	TRUE
Glimma	Microarray	FALSE
globalSeq	TranscriptomicSeq	TRUE
globalSeq	GenomicSeq	FALSE
GOexpress	TranscriptomicSeq	FALSE
GOexpress	Microarray	TRUE
goSTAG	TranscriptomicSeq	FALSE
goSTAG	Microarray	TRUE
GSEABenchmarkeR	TranscriptomicSeq	FALSE
GSEABenchmarkeR	Microarray	TRUE
Guitar	TranscriptomicSeq	FALSE
Guitar	EpigenomicSeq	TRUE
HDF5Array	SingleCell	TRUE
HDF5Array	TranscriptomicSeq	FALSE
iASeq	TranscriptomicSeq	FALSE
iASeq	EpigenomicSeq	TRUE
InTAD	TranscriptomicSeq	FALSE
InTAD	EpigenomicSeq	TRUE
karyoploteR	EpigenomicSeq	FALSE
karyoploteR	GenomicSeq	TRUE
limma	TranscriptomicSeq	FALSE
limma	Microarray	TRUE
Linnorm	SingleCell	FALSE
Linnorm	TranscriptomicSeq	TRUE
Linnorm	EpigenomicSeq	FALSE
MAST	SingleCell	TRUE
MAST	TranscriptomicSeq	FALSE
MCbiclust	TranscriptomicSeq	FALSE
MCbiclust	Microarray	TRUE
MEAL	Microarray	FALSE
MEAL	GenomicSeq	TRUE
MEDIPS	Microarray	FALSE
MEDIPS	EpigenomicSeq	TRUE
methInheritSim	EpigenomicSeq	TRUE
methInheritSim	GenomicSeq	FALSE
methylInheritance	EpigenomicSeq	TRUE
methylInheritance	GenomicSeq	FALSE
mfa	SingleCell	TRUE
mfa	TranscriptomicSeq	FALSE
MIGSA	TranscriptomicSeq	FALSE
MIGSA	Microarray	TRUE
MiRaGE	TranscriptomicSeq	FALSE
MiRaGE	Microarray	TRUE
miRNAtap	Microarray	TRUE
miRNAtap	TranscriptomicSeq	FALSE
motifStack	Microarray	FALSE
motifStack	EpigenomicSeq	TRUE
MotIV	Microarray	FALSE
MotIV	EpigenomicSeq	TRUE
netSmooth	SingleCell	TRUE
netSmooth	TranscriptomicSeq	FALSE
nucleR	Microarray	FALSE
nucleR	EpigenomicSeq	TRUE
omicplotR	TranscriptomicSeq	FALSE
omicplotR	GenomicSeq	TRUE
omicplotR	Microbiome	FALSE
PathoStat	TranscriptomicSeq	FALSE
PathoStat	Microarray	FALSE
PathoStat	Microbiome	TRUE
pathview	TranscriptomicSeq	FALSE
pathview	Microarray	TRUE
PGA	TranscriptomicSeq	FALSE
PGA	MassSpectrometry	TRUE
phantasus	TranscriptomicSeq	FALSE
phantasus	Microarray	TRUE
phenopath	SingleCell	FALSE
phenopath	TranscriptomicSeq	TRUE
Pigengene	TranscriptomicSeq	FALSE
Pigengene	Microarray	TRUE
plgem	Microarray	FALSE
plgem	MassSpectrometry	TRUE
PowerExplorer	TranscriptomicSeq	TRUE
PowerExplorer	EpigenomicSeq	FALSE
prebs	TranscriptomicSeq	FALSE
prebs	Microarray	TRUE
qcmetrics	Microarray	FALSE
qcmetrics	MassSpectrometry	TRUE
QuasR	TranscriptomicSeq	TRUE
QuasR	EpigenomicSeq	FALSE
qusage	TranscriptomicSeq	FALSE
qusage	Microarray	TRUE
recoup	TranscriptomicSeq	TRUE
recoup	EpigenomicSeq	FALSE
regioneR	EpigenomicSeq	TRUE
regioneR	GenomicSeq	FALSE
regsplice	TranscriptomicSeq	TRUE
regsplice	Microarray	FALSE
ReportingTools	TranscriptomicSeq	TRUE
ReportingTools	Microarray	FALSE
rGADEM	Microarray	TRUE
rGADEM	EpigenomicSeq	FALSE
ROTS	TranscriptomicSeq	FALSE
ROTS	Microarray	TRUE
Rsubread	TranscriptomicSeq	TRUE
Rsubread	EpigenomicSeq	FALSE
samExploreR	TranscriptomicSeq	TRUE
samExploreR	EpigenomicSeq	FALSE
samExploreR	GenomicSeq	FALSE
sampleClassifier	TranscriptomicSeq	FALSE
sampleClassifier	Microarray	TRUE
sapFinder	TranscriptomicSeq	FALSE
sapFinder	MassSpectrometry	TRUE
SC3	SingleCell	TRUE
SC3	TranscriptomicSeq	FALSE
SCAN.UPC	TranscriptomicSeq	FALSE
SCAN.UPC	Microarray	TRUE
scater	SingleCell	TRUE
scater	TranscriptomicSeq	FALSE
scDD	SingleCell	TRUE
scDD	TranscriptomicSeq	FALSE
scFeatureFilter	SingleCell	TRUE
scFeatureFilter	TranscriptomicSeq	FALSE
scfind	SingleCell	TRUE
scfind	TranscriptomicSeq	FALSE
scmap	SingleCell	TRUE
scmap	TranscriptomicSeq	FALSE
SCnorm	SingleCell	TRUE
SCnorm	TranscriptomicSeq	FALSE
scone	SingleCell	TRUE
scone	TranscriptomicSeq	FALSE
Sconify	SingleCell	FALSE
Sconify	FlowCytometry	TRUE
scPipe	SingleCell	TRUE
scPipe	TranscriptomicSeq	FALSE
scran	SingleCell	TRUE
scran	TranscriptomicSeq	FALSE
scruff	SingleCell	TRUE
scruff	TranscriptomicSeq	FALSE
semisup	Microarray	TRUE
semisup	GenomicSeq	FALSE
seqplots	TranscriptomicSeq	FALSE
seqplots	EpigenomicSeq	TRUE
slalom	SingleCell	TRUE
slalom	TranscriptomicSeq	FALSE
slingshot	SingleCell	TRUE
slingshot	TranscriptomicSeq	FALSE
splatter	SingleCell	TRUE
splatter	TranscriptomicSeq	FALSE
SSPA	TranscriptomicSeq	FALSE
SSPA	Microarray	TRUE
STAN	TranscriptomicSeq	TRUE
STAN	Microarray	FALSE
STAN	EpigenomicSeq	FALSE
STROMA4	TranscriptomicSeq	FALSE
STROMA4	Microarray	TRUE
sva	TranscriptomicSeq	FALSE
sva	Microarray	TRUE
switchde	SingleCell	TRUE
switchde	TranscriptomicSeq	FALSE
systemPipeR	TranscriptomicSeq	TRUE
systemPipeR	EpigenomicSeq	FALSE
TCseq	TranscriptomicSeq	TRUE
TCseq	EpigenomicSeq	FALSE
TFEA.ChIP	TranscriptomicSeq	FALSE
TFEA.ChIP	EpigenomicSeq	TRUE
TimeSeriesExperiment	TranscriptomicSeq	TRUE
TimeSeriesExperiment	Microbiome	FALSE
transcriptogramer	TranscriptomicSeq	FALSE
transcriptogramer	Microarray	TRUE
TransView	TranscriptomicSeq	FALSE
TransView	Microarray	FALSE
TransView	EpigenomicSeq	TRUE
uSORT	TranscriptomicSeq	FALSE
uSORT	GenomicSeq	TRUE
variancePartition	TranscriptomicSeq	FALSE
variancePartition	Microarray	TRUE
wiggleplotr	TranscriptomicSeq	FALSE
wiggleplotr	EpigenomicSeq	TRUE
zinbwave	SingleCell	TRUE
zinbwave	TranscriptomicSeq	FALSE
